French,Polish
partie,część
histoire,historia
chercher,szukać
seulement,tylko
police,Policja
pensais,myśl
aide,pomoc
demande,wniosek
genre,płeć
mois,miesiąc
frère,brat
laisser,odejść
car,ponieważ
mettre,umieścić
aucun,nic
laisse,zostaw w spokoju
eux,ich
ville,miasto
chaque,każdy
parlé,mówić
arrivé,przybył
devrait,powinien
bébé,Dziecko
longtemps,długi czas
heures,godziny
vont,idą
pendant,podczas
revoir,do widzenia
aucune,nic
place,miejsce
parle,mówić
compris,Zrozumiany
savais,wiedział
étaient,był
attention,uwaga
voici,tutaj jest
pourrais,mógł
affaire,romans
donner,dawać
type,Uprzejmy
leurs,ich
donné,dany
train,pociąg
corps,ciało
endroit,miejsce
yeux,oczy
façon,sposób
écoute,Słuchać
dont,z czego
trouve,znajdować
premier,Pierwszy
perdu,zaginiony
main,ręka
première,Pierwszy
côté,strona
pouvoir,moc
vieux,stary
sois,Być
tiens,trzymać
matin,Poranek
tellement,taki
enfant,dziecko
point,punkt
venu,wszedł
suite,następny
pardon,pardon
venez,przychodzić
devant,z przodu
vers,w kierunku
minutes,protokół
demandé,wniosek
chambre,sypialnia
mis,umieścić
belle,Piękny
droit,Prawidłowy
aimerais,chciałbym
aujourd'hui,Dzisiaj
mari,mąż
cause,przyczyna
enfin,Wreszcie
espère,mieć nadzieję
eau,woda
attendez,Czekać
parti,impreza
nouvelle,nowy
boulot,stanowisko
arrêter,Zatrzymywać się
dirait,powiedziałby
terre,ziemia
compte,konto
donne,dany
loin,daleko
fin,KONIEC
croire,uważać
chérie,Droga
gros,tłuszcz
plutôt,Zamiast
aura,będzie miał
filles,dziewczyny
jouer,grać
bureau,biurko
